domain,slot_name,possible_slot_values,Parking Lot,Driveway,Highway,Roadway,Intersection,Group ID,Must have,Global,"Important slot(have chance to be improved)",Free-form,categorical_values,extractive_values,abstractive_values,time_values,slot_description,example_value
Adjuster,Explain Coverages,[],,,,,,,,,,1,0,1,0,0,Are insurance coverages being explained?,So we're going to take care of your car damage because you have collision coverage for that and it covers all the repairs with or without any fault or deductible. And then we will also cover medical expenses for you and your passengers as well because you have medical payment coverage in your policy.
Adjuster,Permission to Record,"['yes', 'no']",,,,,,,1,,,,1,0,0,0,Does the adjuster have the callers permission to record?,yes
Adjuster,Set up Inspection,"['photo claim', 'field assignment']",,,,,,,,,,,1,0,0,0,What kind of inspection is set up?,field Assignment
Adjuster,Set up Rental,"['yes', 'no']",,,,,,,,,,,1,0,0,0,Does a rental vehicle need to be set up?,no
ContactInfo,First Name,[],,,,,,1,1,,1,,0,1,0,0,"First name of a participant, and provide that participant role.",Bob Smith
ContactInfo,Last Name,[],,,,,,1,1,,1,,0,1,0,0,"Last name of a participant, and provide that participant role.",Bob Smith
ContactInfo,Home Address,[],,,,,,1,,,,,0,1,0,0,A participant home address.,"1410 NE Campus Pkwy, Seattle, WA 98195"
ContactInfo,Phone Number,[],,,,,,1,,,,,0,1,0,0,A participant phone number.,2065432100
ContactInfo,Email Address,[],,,,,,,,,,,0,1,0,0,A participant's email address.,help@uw.edu
ContactInfo,Policy Number,[],,,,,,,,,,,0,1,0,0,Policy number,6052153947
ContactInfo,Date of Birth,[],,,,,,,,,,,0,1,0,0,Date of birth,Sep 31 1995
DriverActions,Car Motion,"['traveling forward', 'backing', 'turning', 'changing lanes', 'stopped', 'other', 'unsure']",,,,,,,1,,1,,1,0,0,0,Describe the motion of the referents vehicle.,turning
DriverActions,Speed,[],,,,,,,1,,,,0,1,0,0,"Description of the speed of the referent.   This may include specific values, like 45 mph, as well as less specific terms like they were going really fast.",40 mph
DriverActions,Distractions,"['cellphone', 'animals', 'smoking', 'passengers', 'traffic', 'eating', 'not paying attention', 'other', 'unsure', 'no distraction']",,,,,,,,,,,1,0,0,0,,smoking
DriverActions,Brake,"['yes', 'no', 'unsure']",,,,,,,,,,,1,0,0,0,Did the referent apply their brakes?,yes
DriverActions,Horn,"['yes', 'no', 'unsure']",,,,,,,,,,,1,0,0,0,Did the referent use their horn.,no
DriverActions,Turn Signal,"['yes', 'no', 'unsure']",,,,,,,,,,,1,0,0,0,Did the referent use a turn signal?,unkown
DriverActions,Traffic Controls Obeyed,"['yes', 'no', 'unsure']",,,,,,,,,,,1,0,0,0,Did the referent properly obey any relevant traffic signals?,unkown
Evidences,Police Report,"['yes', 'no', 'unsure']",,,,,,2,1,,1,,1,0,0,0,Was a police report filed?,yes
Evidences,Police Department Name,[],,,,,,2,,,,1,0,1,0,0,The police department name.,Tacoma Police Department
Evidences,Pictures,"['at scene', 'after accident', 'no picture', 'unsure']",,,,,,,,,,,1,0,0,0,Were pictures taken?  Select all values that apply.,at scene
Evidences,Tickets Citations,"['caller party cited', 'other party cited', 'no party cited', 'multiple parties cited', 'unsure', 'no ticket']",,,,,,2,,,,,1,0,0,0,Did any of the parties receive a ticket or some other citation from the police?,caller party cited
Evidences,Police Report Number,[],,,,,,2,,,,,0,1,0,0,The police report number.,3608868550022
Evidences,Skid Marks,"['yes', 'no', 'unsure']",,,,,,,,1,,,1,0,0,0,Were there skid marks at the scene of the accident?,yes
InjuryDetails,Ambulance,"['yes', 'no', 'unsure']",,1,,,,,,,,,1,0,0,0,Was an ambulance used?  Note that words like paramedic or EMT are also indicative of ambulance.,no
